Year,Census,Source,Value
2011,West South Central,Natural Gas,0.444117499
2011,West South Central,Nuclear,0.104094984
2011,West South Central,Other,0.016387309
2011,West South Central,Renewable,0.071335727
2012,East North Central,Coal,0.561594216
2012,East North Central,Natural Gas,0.132942744
2012,East North Central,Nuclear,0.253793202
2012,East North Central,Other,0.011986766
2012,East North Central,Renewable,0.039683073
2012,East South Central,Coal,0.455848006
2012,East South Central,Natural Gas,0.280649876
2012,East South Central,Nuclear,0.195240241
2012,East South Central,Other,0.005521248
2012,East South Central,Renewable,0.062740629
2012,Middle Atlantic,Coal,0.220512235
2012,Middle Atlantic,Natural Gas,0.33174439
2012,Middle Atlantic,Nuclear,0.35118085
2012,Middle Atlantic,Other,0.007418219
2012,Middle Atlantic,Renewable,0.089144306
2012,Mountain,Coal,0.522314416
2012,Mountain,Natural Gas,0.23048859
2012,Mountain,Nuclear,0.086879334
2012,Mountain,Other,0.004101483
2012,Mountain,Renewable,0.156216176
2012,New England,Coal,0.033939784
2012,New England,Natural Gas,0.51694511
2012,New England,Nuclear,0.298764856
2012,New England,Other,0.018703959
2012,New England,Renewable,0.131646292
2012,Pacific,Coal,0.025327379
2012,Pacific,Natural Gas,0.355625342
2012,Pacific,Nuclear,0.070551827
2012,Pacific,Other,0.032218123
2012,Pacific,Renewable,0.516277329
2012,South Atlantic,Coal,0.356400129
2012,South Atlantic,Natural Gas,0.35175347
2012,South Atlantic,Nuclear,0.247038796
2012,South Atlantic,Other,0.006010346
2012,South Atlantic,Renewable,0.038797259
2012,West North Central,Coal,0.656429342
2012,West North Central,Natural Gas,0.058208968
2012,West North Central,Nuclear,0.125492492
2012,West North Central,Other,0.00261388
2012,West North Central,Renewable,0.157255318
2012,West South Central,Coal,0.321306859
2012,West South Central,Natural Gas,0.486016627
2012,West South Central,Nuclear,0.102929995
2012,West South Central,Other,0.013966995
2012,West South Central,Renewable,0.075779524
2013,East North Central,Coal,0.598160495
2013,East North Central,Natural Gas,0.093233431
2013,East North Central,Nuclear,0.247316085
2013,East North Central,Other,0.01411985
2013,East North Central,Renewable,0.047170139
2013,East South Central,Coal,0.460171656
2013,East South Central,Natural Gas,0.227478049
2013,East South Central,Nuclear,0.215074186
2013,East South Central,Other,0.005053094
2013,East South Central,Renewable,0.092223015
2013,Middle Atlantic,Coal,0.222529323
2013,Middle Atlantic,Natural Gas,0.307196053
2013,Middle Atlantic,Nuclear,0.366780848
2013,Middle Atlantic,Other,0.008540852
2013,Middle Atlantic,Renewable,0.094952923
2013,Mountain,Coal,0.537376939
2013,Mountain,Natural Gas,0.226492221
2013,Mountain,Nuclear,0.083495999
2013,Mountain,Other,0.003699429
2013,Mountain,Renewable,0.148935413
2013,New England,Coal,0.053430426
2013,New England,Natural Gas,0.451909704
2013,New England,Nuclear,0.322196758
2013,New England,Other,0.023787399
2013,New England,Renewable,0.148675713
2013,Pacific,Coal,0.034153606
2013,Pacific,Natural Gas,0.380474882
2013,Pacific,Nuclear,0.06746533
2013,Pacific,Other,0.029609579
2013,Pacific,Renewable,0.488296603
2013,South Atlantic,Coal,0.352975745
2013,South Atlantic,Natural Gas,0.329674249
2013,South Atlantic,Nuclear,0.259574507
2013,South Atlantic,Other,0.008136259
2013,South Atlantic,Renewable,0.04963924
2013,West North Central,Coal,0.665410623
2013,West North Central,Natural Gas,0.045727568
2013,West North Central,Nuclear,0.116345831
2013,West North Central,Other,0.003392926
2013,West North Central,Renewable,0.169123052
2013,West South Central,Coal,0.346790133
2013,West South Central,Natural Gas,0.445936628
2013,West South Central,Nuclear,0.100412311
2013,West South Central,Other,0.017210483
2013,West South Central,Renewable,0.089650445
2014,East North Central,Coal,0.588740177
2014,East North Central,Natural Gas,0.095554842
2014,East North Central,Nuclear,0.249706706
2014,East North Central,Other,0.014592663
2014,East North Central,Renewable,0.051405612
2014,East South Central,Coal,0.473454333
2014,East South Central,Natural Gas,0.238900464
2014,East South Central,Nuclear,0.21113831
2014,East South Central,Other,0.003257623
2014,East South Central,Renewable,0.073249269
2014,Middle Atlantic,Coal,0.201088575
2014,Middle Atlantic,Natural Gas,0.324209231
2014,Middle Atlantic,Nuclear,0.357956629
2014,Middle Atlantic,Other,0.012149504
2014,Middle Atlantic,Renewable,0.10459606
2014,Mountain,Coal,0.518722346
2014,Mountain,Natural Gas,0.221651516
2014,Mountain,Nuclear,0.086173651
2014,Mountain,Other,0.003646217
2014,Mountain,Renewable,0.169806269
2014,New England,Coal,0.044846344
2014,New England,Natural Gas,0.428593958
2014,New England,Nuclear,0.329759948
2014,New England,Other,0.032987834
2014,New England,Renewable,0.163811916
2014,Pacific,Coal,0.032220662
2014,Pacific,Natural Gas,0.371607358
2014,Pacific,Nuclear,0.066733844
2014,Pacific,Other,0.026505447
2014,Pacific,Renewable,0.502932689
2014,South Atlantic,Coal,0.372117381
2014,South Atlantic,Natural Gas,0.320143887
2014,South Atlantic,Nuclear,0.252558799
2014,South Atlantic,Other,0.008641622
2014,South Atlantic,Renewable,0.046538311
2014,West North Central,Coal,0.643660926
2014,West North Central,Natural Gas,0.034992766
2014,West North Central,Nuclear,0.132351272
2014,West North Central,Other,0.002798574
2014,West North Central,Renewable,0.186196462
2014,West South Central,Coal,0.342080339
2014,West South Central,Natural Gas,0.440874409
2014,West South Central,Nuclear,0.105474154
2014,West South Central,Other,0.015858017
2014,West South Central,Renewable,0.095713081
2015,East North Central,Coal,0.523459802
2015,East North Central,Natural Gas,0.147813552
2015,East North Central,Nuclear,0.256911327
2015,East North Central,Other,0.015186916
2015,East North Central,Renewable,0.056628403
2015,East South Central,Coal,0.401580517
2015,East South Central,Natural Gas,0.309089158
2015,East South Central,Nuclear,0.209081693
2015,East South Central,Other,0.002367406
2015,East South Central,Renewable,0.077881226
2015,Middle Atlantic,Coal,0.159910409
2015,Middle Atlantic,Natural Gas,0.356556427
2015,Middle Atlantic,Nuclear,0.368248906
2015,Middle Atlantic,Other,0.011477983
2015,Middle Atlantic,Renewable,0.103806275
2015,Mountain,Coal,0.48394541
2015,Mountain,Natural Gas,0.258452026
2015,Mountain,Nuclear,0.086656022
2015,Mountain,Other,0.004119924
2015,Mountain,Renewable,0.166826619
2015,New England,Coal,0.034844804
2015,New England,Natural Gas,0.484389224
2015,New England,Nuclear,0.28626613
2015,New England,Other,0.030385703
2015,New England,Renewable,0.164114139
2015,Pacific,Coal,0.025143923
2015,Pacific,Natural Gas,0.383697156
2015,Pacific,Nuclear,0.068895166
2015,Pacific,Other,0.029319929
2015,Pacific,Renewable,0.492943826
2015,South Atlantic,Coal,0.305778236
2015,South Atlantic,Natural Gas,0.385023451
2015,South Atlantic,Nuclear,0.252188074
2015,South Atlantic,Other,0.008590569
2015,South Atlantic,Renewable,0.04841967
2015,West North Central,Coal,0.600081165
2015,West North Central,Natural Gas,0.052979618
2015,West North Central,Nuclear,0.141577728
2015,West North Central,Other,0.003691087
2015,West North Central,Renewable,0.201670401
2015,West South Central,Coal,0.265798503
2015,West South Central,Natural Gas,0.511940105
2015,West South Central,Nuclear,0.099305944
2015,West South Central,Other,0.01600824
