"Technology","Size","Year","Data_type","Value","Unit"
"PHEV20","Light truck",1985,"stock",0,"vehicle"
"PHEV40","Light truck",1985,"stock",0,"vehicle"
"BEV100","Car",1986,"stock",0,"vehicle"
"BEV300","Car",1986,"stock",0,"vehicle"
"CNG","Car",1986,"stock",0,"vehicle"
"FCV","Car",1986,"stock",0,"vehicle"
"FFV","Car",1986,"stock",0,"vehicle"
"HEV","Car",1986,"stock",0,"vehicle"
"ICEV-D","Car",1986,"stock",0,"vehicle"
"ICEV-G","Car",1986,"stock",131852305,"vehicle"
"PHEV20","Car",1986,"stock",0,"vehicle"
"PHEV40","Car",1986,"stock",0,"vehicle"
"BEV100","Light truck",1986,"stock",0,"vehicle"
"BEV300","Light truck",1986,"stock",0,"vehicle"
"CNG","Light truck",1986,"stock",0,"vehicle"
"FCV","Light truck",1986,"stock",0,"vehicle"
"FFV","Light truck",1986,"stock",0,"vehicle"
"HEV","Light truck",1986,"stock",0,"vehicle"
"ICEV-D","Light truck",1986,"stock",0,"vehicle"
"ICEV-G","Light truck",1986,"stock",48038066,"vehicle"
"PHEV20","Light truck",1986,"stock",0,"vehicle"
"PHEV40","Light truck",1986,"stock",0,"vehicle"
"BEV100","Car",1987,"stock",0,"vehicle"
"BEV300","Car",1987,"stock",0,"vehicle"
"CNG","Car",1987,"stock",0,"vehicle"
"FCV","Car",1987,"stock",0,"vehicle"
"FFV","Car",1987,"stock",0,"vehicle"
"HEV","Car",1987,"stock",0,"vehicle"
"ICEV-D","Car",1987,"stock",0,"vehicle"
"ICEV-G","Car",1987,"stock",132870861,"vehicle"
"PHEV20","Car",1987,"stock",0,"vehicle"
"PHEV40","Car",1987,"stock",0,"vehicle"
"BEV100","Light truck",1987,"stock",0,"vehicle"
"BEV300","Light truck",1987,"stock",0,"vehicle"
"CNG","Light truck",1987,"stock",0,"vehicle"
"FCV","Light truck",1987,"stock",0,"vehicle"
"FFV","Light truck",1987,"stock",0,"vehicle"
"HEV","Light truck",1987,"stock",0,"vehicle"
"ICEV-D","Light truck",1987,"stock",0,"vehicle"
"ICEV-G","Light truck",1987,"stock",50142578,"vehicle"
"PHEV20","Light truck",1987,"stock",0,"vehicle"
"PHEV40","Light truck",1987,"stock",0,"vehicle"
"BEV100","Car",1988,"stock",0,"vehicle"
"BEV300","Car",1988,"stock",0,"vehicle"
"CNG","Car",1988,"stock",0,"vehicle"
"FCV","Car",1988,"stock",0,"vehicle"
"FFV","Car",1988,"stock",0,"vehicle"
"HEV","Car",1988,"stock",0,"vehicle"
"ICEV-D","Car",1988,"stock",0,"vehicle"
"ICEV-G","Car",1988,"stock",134693324,"vehicle"
"PHEV20","Car",1988,"stock",0,"vehicle"
"PHEV40","Car",1988,"stock",0,"vehicle"
"BEV100","Light truck",1988,"stock",0,"vehicle"
"BEV300","Light truck",1988,"stock",0,"vehicle"
"CNG","Light truck",1988,"stock",0,"vehicle"
"FCV","Light truck",1988,"stock",0,"vehicle"
"FFV","Light truck",1988,"stock",0,"vehicle"
"HEV","Light truck",1988,"stock",0,"vehicle"
"ICEV-D","Light truck",1988,"stock",0,"vehicle"
"ICEV-G","Light truck",1988,"stock",53432685,"vehicle"
"PHEV20","Light truck",1988,"stock",0,"vehicle"
"PHEV40","Light truck",1988,"stock",0,"vehicle"
"BEV100","Car",1989,"stock",0,"vehicle"
"BEV300","Car",1989,"stock",0,"vehicle"
"CNG","Car",1989,"stock",0,"vehicle"
"FCV","Car",1989,"stock",0,"vehicle"
"FFV","Car",1989,"stock",0,"vehicle"
"HEV","Car",1989,"stock",0,"vehicle"
"ICEV-D","Car",1989,"stock",0,"vehicle"
"ICEV-G","Car",1989,"stock",135071001,"vehicle"
"PHEV20","Car",1989,"stock",0,"vehicle"
"PHEV40","Car",1989,"stock",0,"vehicle"
"BEV100","Light truck",1989,"stock",0,"vehicle"
"BEV300","Light truck",1989,"stock",0,"vehicle"
"CNG","Light truck",1989,"stock",0,"vehicle"
"FCV","Light truck",1989,"stock",0,"vehicle"
"FFV","Light truck",1989,"stock",0,"vehicle"
"HEV","Light truck",1989,"stock",0,"vehicle"
"ICEV-D","Light truck",1989,"stock",0,"vehicle"
"ICEV-G","Light truck",1989,"stock",56044029,"vehicle"
"PHEV20","Light truck",1989,"stock",0,"vehicle"
"PHEV40","Light truck",1989,"stock",0,"vehicle"
"BEV100","Car",1990,"stock",0,"vehicle"
"BEV300","Car",1990,"stock",0,"vehicle"
"CNG","Car",1990,"stock",0,"vehicle"
"FCV","Car",1990,"stock",0,"vehicle"
"FFV","Car",1990,"stock",0,"vehicle"
"HEV","Car",1990,"stock",0,"vehicle"
"ICEV-D","Car",1990,"stock",1508484,"vehicle"
"ICEV-G","Car",1990,"stock",132344718,"vehicle"
"PHEV20","Car",1990,"stock",0,"vehicle"
"PHEV40","Car",1990,"stock",0,"vehicle"
"BEV100","Light truck",1990,"stock",0,"vehicle"
"BEV300","Light truck",1990,"stock",0,"vehicle"
"CNG","Light truck",1990,"stock",1052,"vehicle"
"FCV","Light truck",1990,"stock",0,"vehicle"
"FFV","Light truck",1990,"stock",0,"vehicle"
"HEV","Light truck",1990,"stock",0,"vehicle"
"ICEV-D","Light truck",1990,"stock",1487915,"vehicle"
"ICEV-G","Light truck",1990,"stock",57396167,"vehicle"
"PHEV20","Light truck",1990,"stock",0,"vehicle"
"PHEV40","Light truck",1990,"stock",0,"vehicle"
"BEV100","Car",1991,"stock",0,"vehicle"
"BEV300","Car",1991,"stock",0,"vehicle"
"CNG","Car",1991,"stock",0,"vehicle"
"FCV","Car",1991,"stock",0,"vehicle"
"FFV","Car",1991,"stock",0,"vehicle"
"HEV","Car",1991,"stock",0,"vehicle"
"ICEV-D","Car",1991,"stock",1811425,"vehicle"
"ICEV-G","Car",1991,"stock",126153942,"vehicle"
"PHEV20","Car",1991,"stock",0,"vehicle"
"PHEV40","Car",1991,"stock",0,"vehicle"
"BEV100","Light truck",1991,"stock",0,"vehicle"
"BEV300","Light truck",1991,"stock",0,"vehicle"
"CNG","Light truck",1991,"stock",966,"vehicle"
"FCV","Light truck",1991,"stock",0,"vehicle"
"FFV","Light truck",1991,"stock",0,"vehicle"
"HEV","Light truck",1991,"stock",0,"vehicle"
"ICEV-D","Light truck",1991,"stock",1544195,"vehicle"
"ICEV-G","Light truck",1991,"stock",63144848,"vehicle"
"PHEV20","Light truck",1991,"stock",0,"vehicle"
"PHEV40","Light truck",1991,"stock",0,"vehicle"
"BEV100","Car",1992,"stock",0,"vehicle"
"BEV300","Car",1992,"stock",0,"vehicle"
"CNG","Car",1992,"stock",0,"vehicle"
"FCV","Car",1992,"stock",0,"vehicle"
"FFV","Car",1992,"stock",0,"vehicle"
"HEV","Car",1992,"stock",0,"vehicle"
"ICEV-D","Car",1992,"stock",1680427,"vehicle"
"ICEV-G","Car",1992,"stock",124109048,"vehicle"
"PHEV20","Car",1992,"stock",0,"vehicle"
"PHEV40","Car",1992,"stock",0,"vehicle"
"BEV100","Light truck",1992,"stock",0,"vehicle"
"BEV300","Light truck",1992,"stock",0,"vehicle"
"CNG","Light truck",1992,"stock",922,"vehicle"
"FCV","Light truck",1992,"stock",0,"vehicle"
"FFV","Light truck",1992,"stock",0,"vehicle"
"HEV","Light truck",1992,"stock",0,"vehicle"
"ICEV-D","Light truck",1992,"stock",1572386,"vehicle"
"ICEV-G","Light truck",1992,"stock",68066269,"vehicle"
"PHEV20","Light truck",1992,"stock",0,"vehicle"
"PHEV40","Light truck",1992,"stock",0,"vehicle"
"BEV100","Car",1993,"stock",0,"vehicle"
"BEV300","Car",1993,"stock",0,"vehicle"
"CNG","Car",1993,"stock",0,"vehicle"
"FCV","Car",1993,"stock",0,"vehicle"
"FFV","Car",1993,"stock",0,"vehicle"
"HEV","Car",1993,"stock",0,"vehicle"
"ICEV-D","Car",1993,"stock",1531387,"vehicle"
"ICEV-G","Car",1993,"stock",124669945,"vehicle"
"PHEV20","Car",1993,"stock",0,"vehicle"
"PHEV40","Car",1993,"stock",0,"vehicle"
"BEV100","Light truck",1993,"stock",0,"vehicle"
"BEV300","Light truck",1993,"stock",0,"vehicle"
"CNG","Light truck",1993,"stock",1285,"vehicle"
"FCV","Light truck",1993,"stock",0,"vehicle"
"FFV","Light truck",1993,"stock",0,"vehicle"
"HEV","Light truck",1993,"stock",0,"vehicle"
"ICEV-D","Light truck",1993,"stock",1669241,"vehicle"
"ICEV-G","Light truck",1993,"stock",71509586,"vehicle"
"PHEV20","Light truck",1993,"stock",0,"vehicle"
"PHEV40","Light truck",1993,"stock",0,"vehicle"
"BEV100","Car",1994,"stock",0,"vehicle"
"BEV300","Car",1994,"stock",0,"vehicle"
"CNG","Car",1994,"stock",0,"vehicle"
"FCV","Car",1994,"stock",0,"vehicle"
"FFV","Car",1994,"stock",0,"vehicle"
"HEV","Car",1994,"stock",0,"vehicle"
"ICEV-D","Car",1994,"stock",1369994,"vehicle"
"ICEV-G","Car",1994,"stock",124918770,"vehicle"
"PHEV20","Car",1994,"stock",0,"vehicle"
"PHEV40","Car",1994,"stock",0,"vehicle"
"BEV100","Light truck",1994,"stock",0,"vehicle"
"BEV300","Light truck",1994,"stock",0,"vehicle"
"CNG","Light truck",1994,"stock",2007,"vehicle"
"FCV","Light truck",1994,"stock",0,"vehicle"
"FFV","Light truck",1994,"stock",0,"vehicle"
"HEV","Light truck",1994,"stock",0,"vehicle"
"ICEV-D","Light truck",1994,"stock",1706394,"vehicle"
"ICEV-G","Light truck",1994,"stock",75021177,"vehicle"
"PHEV20","Light truck",1994,"stock",0,"vehicle"
"PHEV40","Light truck",1994,"stock",0,"vehicle"
"BEV100","Car",1995,"stock",0,"vehicle"
"BEV300","Car",1995,"stock",0,"vehicle"
"CNG","Car",1995,"stock",0,"vehicle"
"FCV","Car",1995,"stock",0,"vehicle"
"FFV","Car",1995,"stock",4851,"vehicle"
"HEV","Car",1995,"stock",0,"vehicle"
"ICEV-D","Car",1995,"stock",1230091,"vehicle"
"ICEV-G","Car",1995,"stock",125326448,"vehicle"
"PHEV20","Car",1995,"stock",0,"vehicle"
"PHEV40","Car",1995,"stock",0,"vehicle"
"BEV100","Light truck",1995,"stock",0,"vehicle"
"BEV300","Light truck",1995,"stock",0,"vehicle"
"CNG","Light truck",1995,"stock",3132,"vehicle"
"FCV","Light truck",1995,"stock",0,"vehicle"
"FFV","Light truck",1995,"stock",38299,"vehicle"
"HEV","Light truck",1995,"stock",0,"vehicle"
"ICEV-D","Light truck",1995,"stock",1809291,"vehicle"
"ICEV-G","Light truck",1995,"stock",78336654,"vehicle"
"PHEV20","Light truck",1995,"stock",0,"vehicle"
"PHEV40","Light truck",1995,"stock",0,"vehicle"
"BEV100","Car",1996,"stock",0,"vehicle"
"BEV300","Car",1996,"stock",0,"vehicle"
"CNG","Car",1996,"stock",0,"vehicle"
"FCV","Car",1996,"stock",0,"vehicle"
