Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
BEV100,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,313
BEV300,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,292
CNG,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1623
FCV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,104
FFV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,46055
HEV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,3252
ICEV-D,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2503
ICEV-G,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,430353
PHEV20,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,959
PHEV40,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,522
BEV100,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,203
BEV300,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,189
CNG,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1012
FCV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,67
FFV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,39681
HEV,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,4284
ICEV-D,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2462
ICEV-G,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,401221
PHEV20,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,814
PHEV40,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,498
BEV100,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,675
BEV300,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,630
CNG,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,3387
FCV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,225
FFV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,102591
HEV,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,8856
ICEV-D,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,6652
ICEV-G,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,963113
PHEV20,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2383
PHEV40,Pacific,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1389
BEV100,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,830
BEV300,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,774
CNG,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,4049
FCV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,276
FFV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,133339
HEV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,9639
ICEV-D,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,7222
ICEV-G,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1280273
PHEV20,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2583
PHEV40,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1419
BEV100,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,4057
BEV300,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,3786
CNG,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,20259
FCV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1352
FFV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,689292
HEV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,54334
ICEV-D,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,40401
ICEV-G,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,6748153
