"Technology","Year","Value","Scenario","Unit"
"onshore wind resource",2070,4.52698192,"SSP1","EJ"
"water_td_elec_C",2070,4.83832541255,"SSP1","EJ"
"water_td_elec_W",2070,0.00043541255,"SSP1","EJ"
"backup_electricity",2075,0.0004507017119,"SSP1","EJ"
"elec_biomass (conv)",2075,0.377677,"SSP1","EJ"
"elec_biomass (IGCC)",2075,0.271427,"SSP1","EJ"
"elec_coal (conv pul)",2075,6.50469,"SSP1","EJ"
"elec_coal (IGCC)",2075,2.02633,"SSP1","EJ"
"elec_CSP",2075,0.458256,"SSP1","EJ"
"elec_CSP_storage",2075,1.54435,"SSP1","EJ"
"elec_gas (CC)",2075,4.22527,"SSP1","EJ"
"elec_gas (steam/CT)",2075,0.108832,"SSP1","EJ"
"elec_Gen_II_LWR",2075,0,"SSP1","EJ"
"elec_Gen_III",2075,3.15031,"SSP1","EJ"
"elec_geothermal",2075,0.860226,"SSP1","EJ"
"elec_refined liquids (CC)",2075,0.169042,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2075,0.00561217,"SSP1","EJ"
"global solar resource",2075,0.072143481,"SSP1","EJ"
"onshore wind resource",2075,4.616766,"SSP1","EJ"
"water_td_elec_C",2075,4.85892156589,"SSP1","EJ"
"water_td_elec_W",2075,0.00040156589,"SSP1","EJ"
"backup_electricity",2080,0.0003731522608,"SSP1","EJ"
"elec_biomass (conv)",2080,0.414168,"SSP1","EJ"
"elec_biomass (IGCC)",2080,0.310437,"SSP1","EJ"
"elec_coal (conv pul)",2080,6.49855,"SSP1","EJ"
"elec_coal (IGCC)",2080,2.23619,"SSP1","EJ"
"elec_CSP",2080,0.504262,"SSP1","EJ"
"elec_CSP_storage",2080,1.66752,"SSP1","EJ"
"elec_gas (CC)",2080,4.02436,"SSP1","EJ"
"elec_gas (steam/CT)",2080,0.104216,"SSP1","EJ"
"elec_Gen_II_LWR",2080,0,"SSP1","EJ"
"elec_Gen_III",2080,3.2853,"SSP1","EJ"
"elec_geothermal",2080,0.86838,"SSP1","EJ"
"elec_refined liquids (CC)",2080,0.160682,"SSP1","EJ"
