"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV40","Car",2034,"sales","REF",2021,"vehicle",8400
"BEV100","Light truck",2034,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2034,"sales","REF",2021,"vehicle",219318
"CNG","Light truck",2034,"sales","REF",2021,"vehicle",11763
"FCV","Light truck",2034,"sales","REF",2021,"vehicle",132
"FFV","Light truck",2034,"sales","REF",2021,"vehicle",679829
"HEV","Light truck",2034,"sales","REF",2021,"vehicle",478438
"ICEV-D","Light truck",2034,"sales","REF",2021,"vehicle",122867
"ICEV-G","Light truck",2034,"sales","REF",2021,"vehicle",7162274
"PHEV20","Light truck",2034,"sales","REF",2021,"vehicle",10775
"PHEV40","Light truck",2034,"sales","REF",2021,"vehicle",151886
"BEV100","Car",2035,"sales","REF",2021,"vehicle",3821
"BEV300","Car",2035,"sales","REF",2021,"vehicle",393703
"CNG","Car",2035,"sales","REF",2021,"vehicle",5017
"FCV","Car",2035,"sales","REF",2021,"vehicle",978
"FFV","Car",2035,"sales","REF",2021,"vehicle",106488
"HEV","Car",2035,"sales","REF",2021,"vehicle",364634
"ICEV-D","Car",2035,"sales","REF",2021,"vehicle",98
"ICEV-G","Car",2035,"sales","REF",2021,"vehicle",5479135
"PHEV20","Car",2035,"sales","REF",2021,"vehicle",97311
"PHEV40","Car",2035,"sales","REF",2021,"vehicle",8644
"BEV100","Light truck",2035,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2035,"sales","REF",2021,"vehicle",243504
"CNG","Light truck",2035,"sales","REF",2021,"vehicle",11747
"FCV","Light truck",2035,"sales","REF",2021,"vehicle",147
"FFV","Light truck",2035,"sales","REF",2021,"vehicle",675175
"HEV","Light truck",2035,"sales","REF",2021,"vehicle",490154
"ICEV-D","Light truck",2035,"sales","REF",2021,"vehicle",123446
"ICEV-G","Light truck",2035,"sales","REF",2021,"vehicle",7095229
"PHEV20","Light truck",2035,"sales","REF",2021,"vehicle",11544
"PHEV40","Light truck",2035,"sales","REF",2021,"vehicle",154254
"BEV100","Car",2036,"sales","REF",2021,"vehicle",3889
"BEV300","Car",2036,"sales","REF",2021,"vehicle",432370
"CNG","Car",2036,"sales","REF",2021,"vehicle",4998
"FCV","Car",2036,"sales","REF",2021,"vehicle",1018
"FFV","Car",2036,"sales","REF",2021,"vehicle",105500
"HEV","Car",2036,"sales","REF",2021,"vehicle",375847
"ICEV-D","Car",2036,"sales","REF",2021,"vehicle",98
"ICEV-G","Car",2036,"sales","REF",2021,"vehicle",5404802
"PHEV20","Car",2036,"sales","REF",2021,"vehicle",96471
"PHEV40","Car",2036,"sales","REF",2021,"vehicle",8814
"BEV100","Light truck",2036,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2036,"sales","REF",2021,"vehicle",267420
"CNG","Light truck",2036,"sales","REF",2021,"vehicle",11692
"FCV","Light truck",2036,"sales","REF",2021,"vehicle",160
"FFV","Light truck",2036,"sales","REF",2021,"vehicle",668285
"HEV","Light truck",2036,"sales","REF",2021,"vehicle",500326
"ICEV-D","Light truck",2036,"sales","REF",2021,"vehicle",123928
"ICEV-G","Light truck",2036,"sales","REF",2021,"vehicle",7005370
"PHEV20","Light truck",2036,"sales","REF",2021,"vehicle",12374
"PHEV40","Light truck",2036,"sales","REF",2021,"vehicle",155758
"BEV100","Car",2037,"sales","REF",2021,"vehicle",3956
"BEV300","Car",2037,"sales","REF",2021,"vehicle",473398
"CNG","Car",2037,"sales","REF",2021,"vehicle",4998
"FCV","Car",2037,"sales","REF",2021,"vehicle",1058
"FFV","Car",2037,"sales","REF",2021,"vehicle",104878
"HEV","Car",2037,"sales","REF",2021,"vehicle",388463
"ICEV-D","Car",2037,"sales","REF",2021,"vehicle",97
"ICEV-G","Car",2037,"sales","REF",2021,"vehicle",5350218
"PHEV20","Car",2037,"sales","REF",2021,"vehicle",95697
"PHEV40","Car",2037,"sales","REF",2021,"vehicle",8973
"BEV100","Light truck",2037,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2037,"sales","REF",2021,"vehicle",292378
"CNG","Light truck",2037,"sales","REF",2021,"vehicle",11679
"FCV","Light truck",2037,"sales","REF",2021,"vehicle",173
"FFV","Light truck",2037,"sales","REF",2021,"vehicle",663658
"HEV","Light truck",2037,"sales","REF",2021,"vehicle",511729
"ICEV-D","Light truck",2037,"sales","REF",2021,"vehicle",123312
"ICEV-G","Light truck",2037,"sales","REF",2021,"vehicle",6941819
"PHEV20","Light truck",2037,"sales","REF",2021,"vehicle",13379
"PHEV40","Light truck",2037,"sales","REF",2021,"vehicle",157419
"BEV100","Car",2038,"sales","REF",2021,"vehicle",4022
"BEV300","Car",2038,"sales","REF",2021,"vehicle",517092
"CNG","Car",2038,"sales","REF",2021,"vehicle",5013
"FCV","Car",2038,"sales","REF",2021,"vehicle",1097
"FFV","Car",2038,"sales","REF",2021,"vehicle",104585
"HEV","Car",2038,"sales","REF",2021,"vehicle",402727
"ICEV-D","Car",2038,"sales","REF",2021,"vehicle",97
"ICEV-G","Car",2038,"sales","REF",2021,"vehicle",5311543
"PHEV20","Car",2038,"sales","REF",2021,"vehicle",95193
"PHEV40","Car",2038,"sales","REF",2021,"vehicle",9136
"BEV100","Light truck",2038,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2038,"sales","REF",2021,"vehicle",318490
"CNG","Light truck",2038,"sales","REF",2021,"vehicle",11691
"FCV","Light truck",2038,"sales","REF",2021,"vehicle",186
"FFV","Light truck",2038,"sales","REF",2021,"vehicle",660229
"HEV","Light truck",2038,"sales","REF",2021,"vehicle",524183
"ICEV-D","Light truck",2038,"sales","REF",2021,"vehicle",123934
"ICEV-G","Light truck",2038,"sales","REF",2021,"vehicle",6888700
"PHEV20","Light truck",2038,"sales","REF",2021,"vehicle",14542
"PHEV40","Light truck",2038,"sales","REF",2021,"vehicle",159191
"BEV100","Car",2039,"sales","REF",2021,"vehicle",4041
"BEV300","Car",2039,"sales","REF",2021,"vehicle",556465
"CNG","Car",2039,"sales","REF",2021,"vehicle",4992
"FCV","Car",2039,"sales","REF",2021,"vehicle",1126
"FFV","Car",2039,"sales","REF",2021,"vehicle",103514
"HEV","Car",2039,"sales","REF",2021,"vehicle",413161
"ICEV-D","Car",2039,"sales","REF",2021,"vehicle",96
"ICEV-G","Car",2039,"sales","REF",2021,"vehicle",5234296
"PHEV20","Car",2039,"sales","REF",2021,"vehicle",92922
"PHEV40","Car",2039,"sales","REF",2021,"vehicle",9145
"BEV100","Light truck",2039,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2039,"sales","REF",2021,"vehicle",342170
"CNG","Light truck",2039,"sales","REF",2021,"vehicle",11689
"FCV","Light truck",2039,"sales","REF",2021,"vehicle",198
"FFV","Light truck",2039,"sales","REF",2021,"vehicle",656813
"HEV","Light truck",2039,"sales","REF",2021,"vehicle",534285
"ICEV-D","Light truck",2039,"sales","REF",2021,"vehicle",123687
"ICEV-G","Light truck",2039,"sales","REF",2021,"vehicle",6839659
"PHEV20","Light truck",2039,"sales","REF",2021,"vehicle",15809
"PHEV40","Light truck",2039,"sales","REF",2021,"vehicle",159814
"BEV100","Car",2040,"sales","REF",2021,"vehicle",4077
"BEV300","Car",2040,"sales","REF",2021,"vehicle",596431
"CNG","Car",2040,"sales","REF",2021,"vehicle",4985
"FCV","Car",2040,"sales","REF",2021,"vehicle",1156
"FFV","Car",2040,"sales","REF",2021,"vehicle",102875
"HEV","Car",2040,"sales","REF",2021,"vehicle",426689
"ICEV-D","Car",2040,"sales","REF",2021,"vehicle",94
"ICEV-G","Car",2040,"sales","REF",2021,"vehicle",5179924
"PHEV20","Car",2040,"sales","REF",2021,"vehicle",92208
"PHEV40","Car",2040,"sales","REF",2021,"vehicle",9232
"BEV100","Light truck",2040,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2040,"sales","REF",2021,"vehicle",367156
"CNG","Light truck",2040,"sales","REF",2021,"vehicle",11670
"FCV","Light truck",2040,"sales","REF",2021,"vehicle",209
"FFV","Light truck",2040,"sales","REF",2021,"vehicle",651254
"HEV","Light truck",2040,"sales","REF",2021,"vehicle",545191
"ICEV-D","Light truck",2040,"sales","REF",2021,"vehicle",123064
"ICEV-G","Light truck",2040,"sales","REF",2021,"vehicle",6765972
"PHEV20","Light truck",2040,"sales","REF",2021,"vehicle",17268
"PHEV40","Light truck",2040,"sales","REF",2021,"vehicle",160447
"BEV100","Car",2041,"sales","REF",2021,"vehicle",4110
"BEV300","Car",2041,"sales","REF",2021,"vehicle",632956
"CNG","Car",2041,"sales","REF",2021,"vehicle",5015
"FCV","Car",2041,"sales","REF",2021,"vehicle",1193
"FFV","Car",2041,"sales","REF",2021,"vehicle",102831
"HEV","Car",2041,"sales","REF",2021,"vehicle",444741
"ICEV-D","Car",2041,"sales","REF",2021,"vehicle",94
"ICEV-G","Car",2041,"sales","REF",2021,"vehicle",5155314
"PHEV20","Car",2041,"sales","REF",2021,"vehicle",90322
"PHEV40","Car",2041,"sales","REF",2021,"vehicle",9246
